heart_rate,timestamp,date
55,03:50,2024-12-29
56,03:52,2024-12-29
55,03:54,2024-12-29
56,03:56,2024-12-29
57,03:58,2024-12-29
56,04:00,2024-12-29
56,04:02,2024-12-29
56,04:04,2024-12-29
56,04:06,2024-12-29
57,04:08,2024-12-29
56,04:10,2024-12-29
56,04:12,2024-12-29
56,04:14,2024-12-29
55,04:16,2024-12-29
55,04:18,2024-12-29
56,04:20,2024-12-29
61,04:22,2024-12-29
56,04:24,2024-12-29
53,04:26,2024-12-29
55,04:28,2024-12-29
53,04:30,2024-12-29
55,04:32,2024-12-29
55,04:34,2024-12-29
56,04:36,2024-12-29
57,04:38,2024-12-29
53,04:40,2024-12-29
54,04:42,2024-12-29
53,04:44,2024-12-29
53,04:46,2024-12-29
54,04:48,2024-12-29
54,04:50,2024-12-29
53,04:52,2024-12-29
55,04:54,2024-12-29
53,04:56,2024-12-29
53,04:58,2024-12-29
52,05:00,2024-12-29
53,05:02,2024-12-29
52,05:04,2024-12-29
53,05:06,2024-12-29
53,05:08,2024-12-29
53,05:10,2024-12-29
54,05:12,2024-12-29
54,05:14,2024-12-29
54,05:16,2024-12-29
54,05:18,2024-12-29
54,05:20,2024-12-29
53,05:22,2024-12-29
54,05:24,2024-12-29
54,05:26,2024-12-29
54,05:28,2024-12-29
54,05:30,2024-12-29
55,05:32,2024-12-29
54,05:34,2024-12-29
55,05:36,2024-12-29
55,05:38,2024-12-29
54,05:40,2024-12-29
71,05:42,2024-12-29
56,05:44,2024-12-29
46,05:46,2024-12-29
47,05:48,2024-12-29
45,05:50,2024-12-29
46,05:52,2024-12-29
47,05:54,2024-12-29
53,05:56,2024-12-29
53,05:58,2024-12-29
50,06:00,2024-12-29
49,06:02,2024-12-29
47,06:04,2024-12-29
45,06:06,2024-12-29
44,06:08,2024-12-29
46,06:10,2024-12-29
46,06:12,2024-12-29
50,06:14,2024-12-29
49,06:16,2024-12-29
48,06:18,2024-12-29
50,06:20,2024-12-29
48,06:22,2024-12-29
50,06:24,2024-12-29
47,06:26,2024-12-29
48,06:28,2024-12-29
48,06:30,2024-12-29
49,06:32,2024-12-29
50,06:34,2024-12-29
49,06:36,2024-12-29
49,06:38,2024-12-29
49,06:40,2024-12-29
49,06:42,2024-12-29
49,06:44,2024-12-29
48,06:46,2024-12-29
49,06:48,2024-12-29
50,06:50,2024-12-29
55,06:52,2024-12-29
48,06:54,2024-12-29
48,06:56,2024-12-29
49,06:58,2024-12-29
44,07:00,2024-12-29
45,07:02,2024-12-29
45,07:04,2024-12-29
45,07:06,2024-12-29
46,07:08,2024-12-29
45,07:10,2024-12-29
49,07:12,2024-12-29
46,07:14,2024-12-29
46,07:16,2024-12-29
49,07:18,2024-12-29
47,07:20,2024-12-29
47,07:22,2024-12-29
49,07:24,2024-12-29
46,07:26,2024-12-29
47,07:28,2024-12-29
45,07:30,2024-12-29
45,07:32,2024-12-29
47,07:34,2024-12-29
45,07:36,2024-12-29
47,07:38,2024-12-29
